Date,Code,MACD,DMI,PSY_VR,KDJ,WR(s),WR(l),RSI,BIAS,ARBR,BULL,CurrentState,FutureState,PredictState
2023-6-2,600015,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600016,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600018,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600019,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600025,Wait,Wait,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,-1,1,1
2023-6-2,600028,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,0,1,-1
2023-6-2,600029,Wait,Wait,Wait,Wait,Buy,Buy,Buy,Buy,Wait,Wait,0,1,1
2023-6-2,600030,Wait,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600031,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600036,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600039,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600048,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600050,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600061,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,0,1,-1
2023-6-2,600085,Wait,Wait,Wait,Sell,Wait,Buy,Wait,Wait,Wait,Wait,-1,-1,1
2023-6-2,600089,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600104,Buy,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600111,Buy,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600115,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600132,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Buy,1,1,-1
2023-6-2,600150,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Sell,Wait,-1,-1,-1
2023-6-2,600176,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600183,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,1,-1
2023-6-2,600188,Wait,Wait,Wait,Wait,Buy,Buy,Buy,Buy,Wait,Wait,1,1,1
2023-6-2,600196,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600219,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,0,-1
2023-6-2,600233,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600276,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600309,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
